THE_DESCENDANTS_DVS21.avi	a man is holding a woman s hand and then it .
JACK_AND_JILL_DVS312.avi	a person is jumping off of a pool and jumping into a pool .
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS408.avi	a man is looking at another man and smiling .
SPARKLE_2012_DVS301.avi	a woman is looking at a man and then she smiles .
UGLY_TRUTH_DVS342.avi	a man and woman are kissing each other .
JACK_AND_JILL_DVS162.avi	a woman is dancing in a room with a man in a room .
SPARKLE_2012_DVS228.avi	a man is looking at a woman and then she is looking at him .
SPARKLE_2012_DVS427.avi	a man and a woman are dancing together .
JACK_AND_JILL_DVS35.avi	a man is dancing in a chair with a woman in a suit .
UGLY_TRUTH_DVS52.avi	a man is looking at a woman and then looks at him .
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS288.avi	a man is walking and waving his arms around a woman .
THE_BOUNTY_HUNTER_DVS297.avi	a man is walking and looking at a woman .
JACK_AND_JILL_DVS85.avi	a man and woman are sitting in a bed and talking to each other .
THE_BOUNTY_HUNTER_DVS574.avi	a woman is sitting in a car and looking at a window .
UGLY_TRUTH_DVS514.avi	a man and woman are standing together .
INSIDE_MAN_DVS320.avi	a man is playing a guitar and singing .
THE_BOUNTY_HUNTER_DVS493.avi	a man is standing in a car and looking at a car .
PUBLIC_ENEMIES_DVS209.avi	a man is looking at a window and then looks down .
THE_BOUNTY_HUNTER_DVS376.avi	a woman is singing into a microphone and a man is talking .
PUBLIC_ENEMIES_DVS600.avi	a man is walking down a hallway and looking at a woman .
INSIDE_MAN_DVS86.avi	a man is standing in front of a door and talking .
INSIDE_MAN_DVS169.avi	a man is sitting in a chair and smoking .
UGLY_TRUTH_DVS386.avi	a man is standing in a chair and talking .
PUBLIC_ENEMIES_DVS319.avi	a man is looking at a woman who is standing in a bed .
BLINDDATING_DVS240.avi	a woman is talking to a man and she is talking .
UGLY_TRUTH_DVS360.avi	a man is walking and a woman is dancing .
BLINDDATING_DVS362.avi	a man is talking to a woman and she is looking at him .
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS269.avi	a man and woman are dancing together .
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS378.avi	a woman is walking through a door and looking at a man .
JACK_AND_JILL_DVS185.avi	a man and woman are dancing in a room .
THE_DESCENDANTS_DVS717.avi	a woman is dancing in a room with a man in a room .
FRIENDS_WITH_BENEFITS_DVS129.avi	a man is walking in a chair and looking at a woman .
THE_BOUNTY_HUNTER_DVS142.avi	a woman is doing a dance on a beach .
UGLY_TRUTH_DVS439.avi	a man is holding a woman s hand and then she is talking to a man .
UGLY_TRUTH_DVS236.avi	a man is standing in a chair and looking at a woman .
THE_DESCENDANTS_DVS786.avi	a woman is sitting in a chair and talking .
UGLY_TRUTH_DVS444.avi	a man is walking down a hallway and is walking by a woman .
UGLY_TRUTH_DVS434.avi	a man is looking at a window and then looks down .
JACK_AND_JILL_DVS448.avi	a man is driving on a stage and waving .
JACK_AND_JILL_DVS214.avi	a man is dancing and waving his hands .
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS510.avi	a woman with long hair is walking in a room .
UGLY_TRUTH_DVS560.avi	a woman is walking in a room with a door .
FRIENDS_WITH_BENEFITS_DVS262.avi	a man is sitting on a bed and then falls off .
THE_BOUNTY_HUNTER_DVS57.avi	a man is driving in a car and looking at a window .
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS33.avi	a man is riding a car and a woman in a car is standing in a car .
JACK_AND_JILL_DVS114.avi	a man is talking to a woman and is talking .
INSIDE_MAN_DVS131.avi	a man is standing in a room and looking at a woman .
THE_DESCENDANTS_DVS232.avi	a man is talking to a woman and she is looking at him .
SPARKLE_2012_DVS176.avi	a man is looking at a woman and then she kisses him .
THE_BOUNTY_HUNTER_DVS485.avi	a man is walking through a door and then walks away .
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS611.avi	a man is standing in a pool and looking at a woman .
BLINDDATING_DVS37.avi	a man is talking to a woman and a man in a suit .
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS486.avi	a man is holding a woman s hand and then she is talking .
JACK_AND_JILL_DVS412.avi	a woman is singing and waving her hands .
THE_DESCENDANTS_DVS121.avi	a woman is walking in a dark room .
THE_BOUNTY_HUNTER_DVS556.avi	a man is walking through a door and looking at a woman .
PUBLIC_ENEMIES_DVS205.avi	a man is standing in a room and smoking a cigarette .
PUBLIC_ENEMIES_DVS90.avi	a man is sitting in a chair and looking at a woman .
PUBLIC_ENEMIES_DVS398.avi	a man is playing the piano and singing .
BLINDDATING_DVS264.avi	a man is looking at a woman and then looks at him .
THE_DESCENDANTS_DVS230.avi	a man is talking to a woman and smiling .
PUBLIC_ENEMIES_DVS415.avi	a man and woman are looking at each other and talking .
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS583.avi	a woman is talking to a man and she is talking .
THE_DESCENDANTS_DVS429.avi	a man is sitting in a chair and smoking a cigarette .
UGLY_TRUTH_DVS477.avi	a woman is dancing in a room with a man in a suit .
THE_DESCENDANTS_DVS56.avi	a man is looking at a woman and smiling .
JACK_AND_JILL_DVS399.avi	a woman is walking in a chair and is holding a glass .
